Longitude,Latitude,World_cover_2021_code,World_cover_2021_class,World_cover_2021_quality,Copernicus_cover_2018_code,Copernicus_cover_2018_class,Copernicus_water_2018_code,Copernicus_water_2018_class,Copernicus_tree_cover_2018_code,Copernicus_tree_cover_2018_class,Copernicus_Imperviousness_2018_code,Copernicus_Imperviousness_2018_class,,Copernicus_grassland_2018_code,Copernicus_grassland_2018_class,Copernicus_forest_type_2018_code,Copernicus_forest_type_2018_class,Copernicus_dominant_leaf_type_2018_code,Copernicus_dominant_leaf_type_2018_class
-0.597015,42.7889,30,Grassland,61,31,Bare_rocks,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,1,Broadleaved_forest,1,Broadleaved trees
0.763111,42.5981,30,Grassland,126,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.589984,42.7373,30,Grassland,65,25,Mixed_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,1,Broadleaved trees
-0.597015,42.7889,30,Grassland,61,31,Bare_rocks,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,1,Broadleaved_forest,1,Broadleaved trees
0.714563,42.477,10,Tree_cover,126,2,Discontinous_urban_fabric,1,Permanent water,67,67% tree-cover density,NA,Non-impervious areas,,0,Outside area,NA,Outside area,3,Outside area
0.714563,42.477,10,Tree_cover,126,2,Discontinous_urban_fabric,1,Permanent water,67,67% tree-cover density,NA,Non-impervious areas,,0,Outside area,NA,Outside area,3,Outside area
-0.606746,42.71173,10,Tree_cover,91,24,Coriferous_forest,1,Permanent water,72,72% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,3,Outside area
0.755111,42.6368,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.755111,42.6368,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.763644,42.62721,50,Built-up,126,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.606746,42.71173,10,Tree_cover,91,24,Coriferous_forest,1,Permanent water,72,72% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,3,Outside area
0.755111,42.6368,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.763644,42.62721,50,Built-up,126,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.589984,42.7373,30,Grassland,65,25,Mixed_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,1,Broadleaved trees
0.763111,42.5981,30,Grassland,126,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.763111,42.5981,30,Grassland,126,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.606746,42.71173,10,Tree_cover,91,24,Coriferous_forest,1,Permanent water,72,72% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,3,Outside area
-0.589984,42.7373,30,Grassland,65,25,Mixed_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,1,Broadleaved trees
-0.589984,42.7373,30,Grassland,65,25,Mixed_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,1,Broadleaved trees
0.718685,42.5058,10,Tree_cover,126,21,Land principally occupied by agriculture with significant areas of natural vegetation,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.755111,42.6368,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.718685,42.5058,10,Tree_cover,126,21,Land principally occupied by agriculture with significant areas of natural vegetation,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.606746,42.71173,10,Tree_cover,91,24,Coriferous_forest,1,Permanent water,72,72% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,3,Outside area
